id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,fecha_inicio_poliza,fecha_fin_poliza,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada,latitude,longitude
SIN-0001,POL-0001,ASE-50118E54,Vehículos,Responsabilidad Civil,2026-02-25,2026-02-26,900.0,855.0,0.0,Cierre Sin Consecuencia,Guayaquil Centro,Colisión menor en parqueo. Daño leve en guardafango.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.1214954,-79.8256672
SIN-0002,POL-0002,ASE-10B1CD7F,Accidentes Personales,Cobertura Básica,2026-02-25,2026-02-26,1000.0,950.0,900.0,Pago Total,Quito Norte,"Accidente de tránsito menor, sin lesionados graves.",sí,,2025-08-29,2026-08-29,180,185,1,0,0,-0.209072,-78.5041
SIN-0003,POL-0003,ASE-743DE03B,Incendio,Todo Riesgo,2026-02-25,2026-02-26,4000.0,3800.0,0.0,Liquidado,Cuenca,Cortocircuito menor en cocina. Daños menores reparados.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.910852,-79.019396
SIN-0004,POL-0004,ASE-91AB21D0,Vehículos,Daños Parciales,2026-02-25,2026-02-26,1800.0,1710.0,0.0,Pago Parcial,Machala,Impacto con objeto fijo en vía urbana.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-3.231429936227148,-79.9484031404605
SIN-0005,POL-0005,ASE-DDE1D541,Vehículos,Colisión,2026-02-25,2026-02-26,1680.0,1596.0,0.0,Liquidado,Loja,Raspón leve con poste; sin lesionados.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-3.956414101016285,-79.16543801081554
SIN-0006,POL-0006,ASE-D0D86EC7,Accidentes Personales,Cobertura Básica,2026-02-25,2026-02-26,720.0,684.0,648.0,Pago Total,Ambato,Caída en escaleras; lesión leve; documentación completa.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-1.2499559999999998,-78.609076
SIN-0007,POL-0007,ASE-72A09B4A,Vehículos,Daños Parciales,2026-02-25,2026-02-26,3000.0,2850.0,0.0,Reserva,Guayaquil Centro,Colisión a 20 días del inicio de póliza.,sí,,2026-02-05,2027-02-05,20,345,1,0,0,-2.139054581508048,-79.79257239222355
SIN-0008,POL-0008,ASE-463E1383,Vehículos,Robo Parcial,2026-02-25,2026-02-27,2800.0,2660.0,0.0,Reserva,Manta,Robo de radio; denuncia al día siguiente.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-0.963413,-80.71392900000001
SIN-0009,POL-0009,ASE-C36DE609,Accidentes Personales,Cobertura Amplia,2026-02-25,2026-02-26,1600.0,1520.0,0.0,Reserva,Guayaquil Centro,Segundo siniestro del asegurado este año.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.1564799999999997,-79.904528
SIN-0010,POL-0010,ASE-D016E703,Vehículos,Colisión,2026-02-25,2026-02-26,3000.0,2850.0,0.0,Reserva,Cuenca,Segunda colisión para el mismo vehículo.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.87447908,-78.98323456
SIN-0011,POL-0011,ASE-FD95C6FB,Vehículos,Daños,2026-02-25,2026-02-26,3080.0,2926.0,0.0,Reserva,Guayaquil Centro,Conductor con dos siniestros previos este ciclo.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.1601106000000003,-79.949965
SIN-0012,POL-0012,ASE-23218457,Vehículos,Responsabilidad Civil,2026-02-25,2026-02-26,1500.0,1425.0,0.0,Reserva,Guayaquil Centro,Patrón RC observado por segunda vez en el asegurado.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.114414,-79.87803799999999
SIN-0013,POL-0013,ASE-DE236A0B,Accidentes Personales,Cobertura Básica,2026-02-25,2026-03-02,1620.0,1539.0,0.0,Reserva,Quito Norte,Reporte presentado cinco días después del accidente.,sí,,2025-08-29,2026-08-29,180,185,5,0,0,-0.22814,-78.50015599999999
SIN-0014,POL-0014,ASE-1975FDE4,Accidentes Personales,Cobertura Básica,2026-02-25,2026-02-26,1540.0,1463.0,0.0,Reserva,Cuenca,Accidente personal; historial clínico no aportado.,no,,2025-08-29,2026-08-29,180,185,1,0,0,-2.917984,-79.01269599999999
SIN-0015,POL-0015,ASE-C35B386F,Vehículos,Daños,2026-02-25,2026-02-27,5600.0,5320.0,0.0,Reserva,Portoviejo,Daño moderado sin rastro de terceros; zona aislada.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-1.0555087021069096,-80.46272345401671
SIN-0016,POL-0016,ASE-15A13032,Vehículos,Todo Riesgo,2026-02-25,2026-02-26,9700.0,9215.0,0.0,Reserva,Guayaquil Centro,Reclamación por monto casi igual a la suma asegurada.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-2.1325427200000004,-79.84542296000001
SIN-0017,POL-0017,ASE-02811DD6,Vehículos,Colisión,2026-02-25,2026-02-26,4000.0,3800.0,0.0,Reserva,Quito Norte,Incidente menor ocurrido a medianoche.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-0.20246904582001357,-78.46168039390697
SIN-0018,POL-0018,ASE-E4EB5576,Vehículos,Colisión,2026-02-25,2026-02-27,4800.0,4560.0,0.0,Reserva,Cuenca,Descripción con similitud media a casos anteriores.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-2.9054544,-78.953382
SIN-0019,POL-0019,ASE-60E467DD,Vehículos,Colisión,2026-02-25,2026-02-26,13200.0,12540.0,0.0,Reserva,Ambato,Vehículo siniestrado el primer día de vigencia de la póliza.,sí,,2026-02-24,2027-02-24,1,364,1,0,0,-1.261757654000787,-78.60739197673374
SIN-0020,POL-0020,ASE-BF83F3E4,Vehículos,Daños,2026-02-25,2026-02-26,11000.0,10450.0,0.0,Reserva,Quito Norte,Siniestro el mismo día de inicio de póliza; documentación incompleta.,no,,2026-02-25,2027-02-25,0,365,1,0,0,-0.26667066852117366,-78.50086832280897
SIN-0021,POL-0021,ASE-E00FA907,Vehículos,Todo Riesgo,2026-02-25,2026-02-26,19600.0,18620.0,0.0,Reserva,Guayaquil Centro,Primer día de póliza; asegurado con historial elevado.,sí,,2026-02-24,2027-02-24,1,364,1,0,0,-2.049972647314965,-79.87851940145826
SIN-0022,POL-0022,ASE-9C1DC941,Vehículos,Robo Parcial,2026-02-25,2026-03-02,9000.0,8550.0,0.0,Reserva,Esmeraldas,Robo de accesorios; denuncia policial tardía (110 h).,sí,,2025-08-29,2026-08-29,180,185,5,0,0,0.9587049999999999,-79.62989200000001
